"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.00113678734390931	0.000564468227982817	2.0139084673937	0.0138081793106268	0.00870925731322233	1.58546002420474	0.005	0
"ACTL6A"	0.00113468971188396	0.000791491304733372	1.43360982628382	0.0136542382383125	0.0106765330319679	1.2789018867294	0	0
"ACTR5"	0.00274953909749745	0.00106773357095108	2.57511721304063	0.020666191928936	0.0153132460177105	1.34956311059291	0	0
"AES"	0.00698076084452511	0.00486019401803382	1.4363132044982	0.0158195220790096	0.0142165321275552	1.11275534265824	0.002	0.002
"AGTRAP"	0.0157927286217385	0.00862595630141048	1.83083800449536	0.0144627852974386	0.0077892528379432	1.85676156601145	0	0
"ANKRA2"	0.00416780050731973	0.00153348530534592	2.71786139246999	0.0122784130151178	0.00607119234957293	2.0224055355422	0.019	0
"ANKRD17"	0.000889794783200391	0.000150810230337221	5.90009564477659	0.00998478975516413	0.00655256393240727	1.52379890652909	0	0
"ANKRD28"	0.00116499509003366	0.000500722712738947	2.32662721381491	0.0144927536231884	0.00955053642595888	1.51748058714234	0.028	0.039
"ANXA1"	0.00531386887716106	0.0027989939049969	1.8984924789134	0.0140286808586443	0.00633584647132194	2.214176262342	0.017	0
"APEX1"	0.000141146570132892	8.6735727259179e-05	1.62731753791751	0.0117066852810564	0.00719943924699945	1.62605515227251	0.012	0
"APPBP2"	0.010765245512664	0.00281551570709701	3.8235430495125	0.0151850000169469	0.00804559190208205	1.88736890980231	0	0
"APPL1"	0.00132857869629413	0.000484712069575452	2.74096474935688	0.0117433400391109	0.00697340826215564	1.68401728360599	0	0
"AQP1"	0.000711938316816487	0.000418531810628583	1.7010375286582	0.0120629586737518	0.00816857330010823	1.47675221003305	0.003	0
"ARID2"	0.000372350723008153	0.000121205300410716	3.07206633494084	0.0154138581021693	0.0077123867294598	1.99858469794978	0	0
"ARIH2"	0.000744358711899492	0.000259939174486595	2.86358804273989	0.0118343195266272	0.00634478987387172	1.86520275089988	0	0
"ARL6IP4"	0.00141324567490864	0.000716939000714733	1.97122164298461	0.0118336190098657	0.00699367660017402	1.69204549858243	0.002	0
"ARNT"	0.00335569233043231	0.000710921230039516	4.72020272941602	0.012098617726837	0.00792496360948441	1.52664647095132	0	0
"ATF4"	0.00153966893709517	0.000768565042328731	2.00330336705143	0.0155147891610684	0.0131066423125851	1.1837348415445	0.005	0.021
"ATF7IP"	0.000714182996102823	0.00026605250912965	2.68436857986855	0.0149851647024279	0.0107848596219687	1.38946312030832	0	0
"ATP5O"	0.0027800022955468	0.000989276863954561	2.81013576364654	0.0107610221894797	0.00636177268618568	1.69151315526359	0	0
"AXIN1"	0.0026870151721571	0.00154037691388401	1.74438810912965	0.0125973582018089	0.00700348823388427	1.79872626055975	0	0
"BAG5"	0.00256588025610756	0.00101688201370474	2.52328217190061	0.0113464176077637	0.00684918547767922	1.65660831419159	0	0
"BANP"	0.0096499971678809	0.00851771238695234	1.13293296715008	0.0208062286720461	0.0190848059604387	1.09019859647386	0.007	0
"BAP1"	0.000740487173930437	0.000288989874484522	2.56232913091249	0.0142217966160412	0.0103534265290588	1.37363186729776	0	0
"BAZ1A"	0.00157241450972739	0.000550411585372903	2.85679762474854	0.0138989396509654	0.00878798753584356	1.5815839057891	0	0
"BCL11B"	0.0113166761673323	0.00573600224808175	1.97292045537759	0.0176452330989642	0.0122225276628785	1.44366481186663	0	0
